asn=0    	id=11  	TSCH	Node has joined TSCH [NODE]
asn=0    	id=11  	Node	update time source called [NODE]
asn=0    	id=11  	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=11  	Node	scanning on channel=26...[NODE]
asn=0    	id=12  	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=12  	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=12  	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=16 [SCHEDULER NEW]
asn=0    	id=12  	Node	Slotframe number 1 added from node: 12 [NODE]
asn=0    	id=12  	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=12  	TSCH	about to add cells at channel offset=13 called by node 12 [SCHEDULER NEW]
asn=0    	id=12  	Node	Add cell in timeslot: 11 channel offset: 4 in slotframe: 1
asn=0    	id=12  	TSCH	Node has joined TSCH [NODE]
asn=0    	id=12  	Node	update time source called [NODE]
asn=0    	id=12  	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=12  	Node	scanning on channel=20...[NODE]
asn=0    	id=13  	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=13  	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=13  	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=16 [SCHEDULER NEW]
asn=0    	id=13  	Node	Slotframe number 1 added from node: 13 [NODE]
asn=0    	id=13  	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=13  	TSCH	about to add cells at channel offset=14 called by node 13 [SCHEDULER NEW]
asn=0    	id=13  	Node	Add cell in timeslot: 12 channel offset: 3 in slotframe: 1
asn=0    	id=13  	TSCH	Node has joined TSCH [NODE]
asn=0    	id=13  	Node	update time source called [NODE]
asn=0    	id=13  	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=13  	Node	scanning on channel=20...[NODE]
asn=0    	id=14  	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=14  	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=14  	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=16 [SCHEDULER NEW]
asn=0    	id=14  	Node	Slotframe number 1 added from node: 14 [NODE]
asn=0    	id=14  	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=14  	TSCH	about to add cells at channel offset=15 called by node 14 [SCHEDULER NEW]
asn=0    	id=14  	Node	Add cell in timeslot: 13 channel offset: 3 in slotframe: 1
asn=0    	id=14  	TSCH	Node has joined TSCH [NODE]
asn=0    	id=14  	Node	update time source called [NODE]
asn=0    	id=14  	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=14  	Node	scanning on channel=25...[NODE]
asn=16   	id=4   	Node	add neighbor id=1 [NODE]
asn=16   	id=4   	Node	Add_route called from ensure neighbor
asn=16   	id=4   	TSCH	joined/associated at 0.16 on receiving an EB packet from 1[NODE]
asn=16   	id=4   	TSCH	Node has joined TSCH in TSCH Associate [NODE]
asn=16   	id=4   	Node	update time source called [NODE]
asn=16   	id=4   	Main	On new time source method called from Manual Routing [ROUTING MANUAL]
asn=16   	id=4   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=16   	id=4   	Node	Start method called from Manual Routing for 4
asn=16   	id=4   	Node	Route File Read successfully [ROUTING MANUAL]
asn=16   	id=4   	Node	File loaded into struct successfully [ROUTING MANUAL]
asn=16   	id=4   	Node	Reading routes for Node 4 [ROUTING MANUAL]
asn=16   	id=4   	Node	Destination = 1, Nexthop = 1 [ROUTING MANUAL]
asn=16   	id=4   	Node	Route added to destination node id: 1 through next hop node id: 1 in the routing table of node: 4
asn=16   	id=4   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=16   	id=4   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=16   	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=16   	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=100  	id=2   	Node	scanning on channel=26...[NODE]
asn=100  	id=7   	Node	scanning on channel=20...[NODE]
asn=100  	id=8   	Node	scanning on channel=26...[NODE]
asn=100  	id=9   	Node	scanning on channel=26...[NODE]
asn=100  	id=10  	Node	scanning on channel=25...[NODE]
asn=100  	id=11  	Node	scanning on channel=25...[NODE]
asn=100  	id=12  	Node	scanning on channel=26...[NODE]
asn=100  	id=13  	Node	scanning on channel=25...[NODE]
asn=100  	id=14  	Node	scanning on channel=20...[NODE]
asn=200  	id=13  	Node	scanning on channel=20...[NODE]
asn=200  	id=14  	Node	scanning on channel=15...[NODE]
asn=200  	id=7   	Node	scanning on channel=26...[NODE]
asn=200  	id=5   	Node	scanning on channel=25...[NODE]
asn=200  	id=3   	Node	scanning on channel=20...[NODE]
asn=200  	id=10  	Node	scanning on channel=15...[NODE]
asn=200  	id=2   	Node	scanning on channel=20...[NODE]
asn=228  	id=12  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
